CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
C0011570,NULL,CUI,RO,C0235134,NULL,CUI,NULL,R03130906,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0235135,NULL,CUI,NULL,R03130907,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0235196,NULL,CUI,NULL,R03130908,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0868893,NULL,CUI,NULL,R03130910,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0154437,NULL,CUI,NULL,R03130911,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0011573,NULL,CUI,NULL,R03130912,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0025193,NULL,CUI,NULL,R03130913,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0233477,NULL,CUI,NULL,R03130914,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0178417,NULL,CUI,NULL,R03130915,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,A1000550,CUI,RQ,C0011570,A0404407,AUI,clinically_similar,R03688897,NULL,RAM,RAM,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C1269683,NULL,CUI,NULL,R102257285,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RB,C2713234,NULL,CUI,NULL,R111737091,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0003289,NULL,CUI,NULL,R116562479,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0270458,NULL,CUI,NULL,R13283212,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0011579,NULL,CUI,NULL,R13380895,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0344315,NULL,CUI,NULL,R14948834,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0011581,NULL,CUI,NULL,R156635868,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0460137,NULL,CUI,NULL,R162505021,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0349217,NULL,CUI,NULL,R23318558,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0812393,NULL,CUI,NULL,R23318637,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RB,C0004936,NULL,CUI,NULL,R33799701,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0001622,NULL,CUI,NULL,R38371054,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0522168,NULL,CUI,NULL,R38371112,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C1999266,NULL,CUI,NULL,R84888038,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C1579931,NULL,CUI,NULL,R92276974,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0154413,NULL,CUI,NULL,R94719956,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C2362516,NULL,CUI,NULL,R101329912,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0554876,NULL,CUI,NULL,R116616657,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0271650,NULL,CUI,NULL,R121659470,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0020456,NULL,CUI,NULL,R146188189,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0362046,NULL,CUI,NULL,R162583535,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0238086,NULL,CUI,NULL,R91966197,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0032969,NULL,CUI,NULL,R91966201,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0235429,NULL,CUI,NULL,R91966203,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0271640,NULL,CUI,NULL,R91966205,NULL,MTH,MTH,NULL,NULL,N,NULL
